,Date,Venue,JRAD or Event SBD/MTX,Audience Taper,Audience Audio,RAD Track (RTn) or Event Video,Audience Video (Substantial),VIP Soundcheck ,Personnel changes,Number of Items,Number of Breakouts,Show Number
1,2013-01-26 00:00:00,"Brooklyn Bowl, Brooklyn, NY",https://archive.org/details/jrad2013-01-26.mtx,NYCtaper,http://www.nyctaper.com/2013/01/joe-russos-almost-dead-january-26-2013-brooklyn-bowl-flacmp3streaming/,RT 1-3-5-7-11-13-15-18-20-21-22-23,,,,21,0,1
2,2013-12-27 00:00:00,"Capitol Theatre, Port Chester, NY",https://archive.org/details/jrad2013-12-27.cmc64.sbd.matrix.flac16,Eric McRoberts,https://archive.org/details/jrad2013-12-27.cmc641.flac16,RT 2-4-6-8-9-10-12-14-17-19,,,,16,0,2
3,2014-08-01 00:00:00,"Gathering Of The Vibes, Seaside Park, Bridgeport, CT",https://archive.org/details/jrad2014-08-01.cmc621.sbd.matrix.flac16,Dave Malloy,https://archive.org/details/JoeRussosAlmostDead2014-08-01,RT 25-26,https://www.youtube.com/watch?v=GxpUpi7tSzY&feature=youtu.be,,,11,0,3
4,2014-09-19 00:00:00,"Concord Music Hall, Chicago, IL",https://archive.org/details/jrad2014-09-19.cmc621.sbd.matrix.flac16,,None known,RT 27,,,,16,0,4
5,2014-09-20 00:00:00,"Concord Music Hall, Chicago, IL",https://archive.org/details/jrad2014-09-20.cmc621.sbd.matrix.flac16,,None known,,,,,14,0,5
6,2014-10-05 00:00:00,"Hardly Strictly Bluegrass, Golden Gate Park, San Francisco, CA",https://archive.org/details/jrad2014-10-05.sbd.flac16,,None known,Full Show: https://www.youtube.com/watch?v=cJRoJElrSMo,,,,6,0,6
7,2014-10-10 00:00:00,"Boulder Theater, Boulder, CO",https://archive.org/details/jrad2014-10-10.cmc621.sbd.matrix.flac16,Patrick H,https://archive.org/details/JRAD2014-10-10,,,,,14,0,7
8,2014-10-11 00:00:00,"Ogden Theater, Denver, CO",https://archive.org/details/jrad2014-10-11.cmc621.sbd.matrix.flac16,Kind Recordings,https://archive.org/details/jrad2014-10-11.fob.mc803.kindrec,,AUD Set 1 https://www.youtube.com/watch?v=CmcwDa5rfwE Set 2 https://www.youtube.com/watch?v=9rAZLVi5Az0,,,15,0,8
9,2014-11-02 00:00:00,"Hulaween, Live Oak, FL",None known,,None known,,https://www.youtube.com/watch?v=kZm8nOG6hhA,,,8,0,9
10,2014-12-29 00:00:00,"Capitol Theater, Port Chester, NY",Purchase at www.livedownloads.com,Eric McRoberts,https://archive.org/details/philrad2014-12-29.cmc641xt.flac16,RT 29-47,40 minutes of Set 2 (4 parts) at https://www.youtube.com/channel/UCgsZ2ycKOHqqt1BMfPrHxeA,,Phil Lesh instead of Dreiwitz,17,0,10
